,year,geoid,pollutant,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by,sourcetype,regclass,fueltype,roadtype,table
41,2045.0,1009,98.0,355518.4503499998,883013289.0940002,18806279.621200006,68779.83198800002,85255791.074,70818.62,60834.649999999994,22511.41,38541.17,16,,,,,d01009
42,2050.0,1009,98.0,367970.4428899999,914430123.078,19479817.56819999,70328.827475,87986444.374,71928.21,63559.24,23739.02,39806.619999999995,16,,,,,d01009
43,2055.0,1009,98.0,382399.5766600004,945060002.174,20135536.73099999,71729.29142999998,90591263.147,73907.95000000001,65679.89,24611.985,41050.005,16,,,,,d01009
44,2060.0,1009,98.0,398472.6208299998,977173239.098,20823464.383,73219.28465,93401103.963,76218.70999999999,67750.01,25406.203,42343.706,16,,,,,d01009
45,2020.0,1011,98.0,83290.39946279502,163555777.185522,3870378.307029701,13570.386262545,15192272.030774402,0.0,0.0,0.0,0.0,16,,,,,d01011
46,2025.0,1011,98.0,77685.36811930701,168257428.3835901,3981157.9769022902,14011.594974649,15763863.2849267,0.0,0.0,0.0,0.0,16,,,,,d01011
47,2030.0,1011,98.0,73418.08733924401,174021273.3539409,4118887.41577691,14344.7970499801,16233839.094638051,0.0,0.0,0.0,0.0,16,,,,,d01011
48,2035.0,1011,98.0,71079.4869193969,178515414.97264618,4228002.882076642,14623.89403183,16665246.197866555,0.0,0.0,0.0,0.0,16,,,,,d01011
49,2040.0,1011,98.0,71420.41444098704,184626562.93108037,4376468.525450801,14910.053909354,17122774.51817995,0.0,0.0,0.0,0.0,16,,,,,d01011
50,2045.0,1011,98.0,73059.374633,191304222.837,4537904.035500001,15267.763439,17681696.9854,0.0,0.0,0.0,0.0,16,,,,,d01011
51,2050.0,1011,98.0,75630.64479399998,198059439.322,4699756.62498,15607.960926999998,18248028.1549,0.0,0.0,0.0,0.0,16,,,,,d01011
52,2055.0,1011,98.0,78603.366331,204625006.953,4856783.1898,15914.561448,18788266.8007,0.0,0.0,0.0,0.0,16,,,,,d01011
53,2060.0,1011,98.0,81916.619357,211502780.15199995,5021414.1359,16240.464325,19371002.0003,0.0,0.0,0.0,0.0,16,,,,,d01011
54,2020.0,1013,98.0,436153.4435702507,726228561.8218842,13712026.68752515,56445.45686967701,83288381.33143899,370509.659,27794.32,0.0,99575.92,16,,,,,d01013
55,2025.0,1013,98.0,407472.03945822,747753161.5943382,14116174.762362232,58289.662488914,86422150.5121982,319423.204,74012.84,16224.906,102415.3109,16,,,,,d01013
56,2030.0,1013,98.0,383348.18233129504,774078715.6119952,14615065.864333544,59711.117228908,88998501.8331818,265002.71867699997,121009.83,36111.98,105531.179669,16,,,,,d01013
57,2035.0,1013,98.0,370080.515559244,795707344.8986039,15026937.577112367,60932.548157050995,91363616.9925316,230055.6210851,152983.65,52236.11,108818.52277127,16,,,,,d01013
58,2040.0,1013,98.0,371284.6344418422,824544109.7556131,15577898.250515437,62205.817347274,93871927.2147044,216592.67,171813.72,62134.44,112634.71,16,,,,,d01013
59,2045.0,1013,98.0,379482.912328,855505761.164,16168520.214890003,63790.776833,96936150.476,213847.4,183699.14,67976.34,116380.27,16,,,,,d01013
60,2050.0,1013,98.0,392564.6514510002,886662657.927,16758913.745500002,65292.64022,100040802.758,217197.28,191926.86,71683.59999999999,120201.64,16,,,,,d01013
61,2055.0,1013,98.0,407729.2568209998,917051293.615,17333435.586300008,66649.36356,103002572.179,223175.86,198330.6,74319.35,123956.25,16,,,,,d01013
62,2060.0,1013,98.0,424608.27439,948979872.437,17937182.549200006,68092.12744,106197287.099,230153.39,204581.13,76717.90000000001,127863.33,16,,,,,d01013
63,2020.0,1015,98.0,717624.4084537576,1399963086.1327906,42978901.17878657,117699.98231134,154455755.98898202,64212.1495,4816.968,0.0,17257.2634,16,,,,,d01015
64,2025.0,1015,98.0,666793.2502559399,1439356093.1021607,44178424.14660584,121547.791973041,160267187.620587,55358.5346,12826.995,2811.8978,17749.329149999998,16,,,,,d01015
65,2030.0,1015,98.0,629687.8664745466,1489900350.2383392,45740196.242717974,124542.85959805,165045202.7085765,45926.9568229,20971.897,6258.476,18289.3082057,16,,,,,d01015
66,2035.0,1015,98.0,609756.5590405778,1531197757.4121113,47030846.66449976,127176.18555927298,169431208.47586137,39870.26192113,26513.306,9052.913,18859.135480281,16,,,,,d01015
67,2040.0,1015,98.0,613286.9946850261,1587679649.3151643,48799420.460606255,129968.94394465,174082739.551123,37537.189999999995,29776.584000000003,10768.39,19520.491,16,,,,,d01015
68,2045.0,1015,98.0,627828.0370919998,1648386704.4659998,50693836.69261001,133347.66581,179765274.283,37061.32,31836.423,11780.846,20169.598,16,,,,,d01015
69,2050.0,1015,98.0,649625.0033540005,1707587665.0619998,52525490.39335007,136449.53445,185522926.511,37642.046,33262.297,12423.315,20831.865,16,,,,,d01015
70,2055.0,1015,98.0,674589.6594630001,1764416720.745,54278911.24944998,139204.37948000003,191015286.49,38678.018,34372.082,12880.155,21482.614,16,,,,,d01015
71,2060.0,1015,98.0,702426.6204029995,1823998360.0029995,56118153.42675996,142119.05199,196940010.566,39887.36,35455.443,13295.753,22159.689,16,,,,,d01015
72,2020.0,1017,98.0,272408.35827493895,512074500.4453089,12313891.651413308,41914.34180990499,55994155.7383642,91180.647,6840.054,0.0,24505.1608,16,,,,,d01017
73,2025.0,1017,98.0,253864.59047160516,526812649.93751913,12665090.133634726,43283.393848598,58100924.47565089,78608.6448,18214.216,3992.876,25203.92969,16,,,,,d01017
74,2030.0,1017,98.0,239487.4557478949,545247208.4918501,13110949.794568984,44339.09129684,59833077.3677381,65215.877488000006,29779.967999999997,8886.98,25970.6703719,16,,,,,d01017
75,2035.0,1017,98.0,231671.34895252605,560196722.0932684,13475901.965845276,45251.8510214364,61423025.96255832,56615.522727979995,37648.61,12855.045,26779.842681995,16,,,,,d01017
76,2040.0,1017,98.0,232776.92233467585,580450348.8967867,13971990.23075153,46208.304647747995,63109342.88299,53302.46,42282.42,15291.011,27718.996,16,,,,,d01017
77,2045.0,1017,98.0,238138.792492,602283425.155,14505234.084799996,47383.182059,65169443.61000001,52626.77,45207.45,16728.687,28640.727,16,,,,,d01017
